al
as
ava
ctvo
ečný
gate
ičelý
ičitý
ický
ičný
istý
itý
ium
natý
né
ník
ný
ol
ost
ova
ovi
ovné
ovo
ovy
ový
plný
ský
utý
ův
ař
ář
át
čtina
dlo
jedy
krát
sko
ština
stvo
