a
ab
an
arci
astro
auto
bez
centi
cis
deci
deka
dia
e
euro
gala
giga
hekto
hetero
homo
i
kilo
ko
kon
kontra
mega
mikro
mili
mono
multi
nano
ne
o
piko
poly
pra
při
pseudo
sebe
spolu
staro
syn
tele
tera
trans
uni
vel
vele
vodo
vysoko
